         Sample#               E               M           <eps>             <m>             C_V        Suscept.
           39900              -8               4        -2.66395         1.33281       0.0296192        -1.77596
           40000              -8               4        -2.66173          1.3317       0.0295452        -1.76857
           40100              -8               4        -2.65953          1.3306       0.0294717        -1.76123
           40200              -8               4        -2.65735          1.3295       0.0293985        -1.75396
           40300              -8               4        -2.65518         1.32842       0.0293257        -1.74674
           40400              -8               4        -2.65303         1.32734       0.0292532        -1.73958
           40500              -8               4        -2.65089         1.32626       0.0291812        -1.73248
           40600              -8               4        -2.64876          1.3252       0.0291094        -1.72543
           40700              -8               4        -2.64664         1.32414        0.029038        -1.71843
           40800              -8               4        -2.64455         1.32308        0.028967         -1.7115
           40900              -8               4        -2.64246         1.32204       0.0288963        -1.70461
           41000              -8               4        -2.64039           1.321       0.0288259        -1.69778
           41100              -8               4        -2.63833         1.31997       0.0287559          -1.691
           41200              -8               4        -2.63628         1.31894       0.0286862        -1.68427
           41300              -8               4        -2.63425         1.31792       0.0286169        -1.67759
           41400              -8               4        -2.63223         1.31691       0.0285479        -1.67097
           41500              -8               4        -2.63022          1.3159       0.0284792        -1.66439
           41600              -8               4        -2.62823         1.31491       0.0284109        -1.65786
           41700              -8               4        -2.62612         1.31386       0.0291075        -1.65111
           41800              -8               4        -2.62415         1.31288        0.029038        -1.64468
           41900              -8               4        -2.62219          1.3119       0.0289688         -1.6383
           42000              -8               4        -2.62006         1.31084       0.0300386         -1.6315
           42100              -8               4        -2.61813         1.30988       0.0299674        -1.62521
           42200              -8               4        -2.61621         1.30891       0.0298965        -1.61898
           42300              -8               4         -2.6143         1.30796        0.029826        -1.61279
           42400              -8               4        -2.61241         1.30701       0.0297558        -1.60664
           42500              -8               4        -2.61052         1.30606       0.0296859        -1.60054
           42600              -8               4        -2.60865         1.30512       0.0296163        -1.59449
           42700              -8               4        -2.60679         1.30419       0.0295471        -1.58847
           42800              -8               4        -2.60494         1.30326       0.0294782        -1.58251
           42900              -8               4         -2.6031         1.30234       0.0294096        -1.57658
           43000              -8               4        -2.60127         1.30142       0.0293413         -1.5707
           43100              -8               4        -2.59946         1.30051       0.0292734        -1.56486
